subject,event,event_n,channel,hemis,area,subarea,tauorg,tauimp,pernan
A1i7n,eyes_open,3,E72,Central,Parietal,Pz,5.16389E-05,5.16389E-05,0
A1i7n,eyes_open,3,E74,Left,Occipital,O1,0.0962941,0.0962941,0
A1i7n,eyes_open,3,E75,Central,Occipital,Oz,5.47693E-05,5.47693E-05,0
A1i7n,eyes_open,3,E76,Central,Occipital,Oz,0.132199312,0.132199312,0
A1i7n,eyes_open,3,E77,Central,Parietal,Pz,0.073577627,0.073577627,0
A1i7n,eyes_open,3,E78,Central,Parietal,Pz,0.351069375,0.351069375,0
A1i7n,eyes_open,3,E79,Central,Central,Cz,0.314456082,0.314456082,0
A1i7n,eyes_open,3,E80,Central,Central,Cz,0.161209096,0.161209096,0
A1i7n,eyes_open,3,E82,Right,Occipital,O2,0.152459431,0.152459431,0
A1i7n,eyes_open,3,E83,Right,Occipital,O2,0.102789687,0.102789687,0
A1i7n,eyes_open,3,E84,Right,Occipital,O3,0.091912465,0.091912465,0
A1i7n,eyes_open,3,E85,Right,Parietal,P4,0.126398133,0.126398133,0
A1i7n,eyes_open,3,E86,Right,Parietal,P4,0.312301243,0.312301243,0
A1i7n,eyes_open,3,E87,Central,Central,Cz,0.087298503,0.087298503,0
A1i7n,eyes_open,3,E89,Right,Occipital,O2,0.02201281,0.02201281,0
A1i7n,eyes_open,3,E90,Right,Parietal,P8,0.112977715,0.112977715,0
A1i7n,eyes_open,3,E91,Right,Parietal,P8,0.111273443,0.111273443,0
A1i7n,eyes_open,3,E92,Right,Parietal,P4,0.103106922,0.103106922,0
A1i7n,eyes_open,3,E93,Right,Central,C4,0.017717556,0.017717556,0
A1i7n,eyes_open,3,E95,Right,Parietal,P8,0.021619635,0.021619635,0
A1i7n,eyes_open,3,E96,Right,Parietal,P8,0.107029191,0.107029191,0
A1i7n,eyes_open,3,E97,Right,Parietal,P8,8.51055E-05,8.51055E-05,0
A1i7n,eyes_open,3,E98,Right,Central,C8,0.090794386,0.090794386,0
A1i7n,eyes_open,3,E100,Right,Temporal,TR,0.113930221,0.113930221,0
A1i7n,eyes_open,3,E101,Right,Temporal,TR,0.118134138,0.118134138,0
A1i7n,eyes_open,3,E102,Right,Temporal,TR,0.107945625,0.107945625,0
A1i7n,eyes_open,3,E103,Right,Central,C8,0.083009349,0.083009349,0
A1i7n,eyes_open,3,E104,Right,Central,C4,3.08231E-05,3.08231E-05,0
A1i7n,eyes_open,3,E105,Central,Central,Cz,7.76615E-05,7.76615E-05,0
A1i7n,eyes_open,3,E106,Central,Central,Cz,0.213729536,0.213729536,0
A1i7n,eyes_open,3,E108,Right,Temporal,TR,1.38629E-05,1.38629E-05,0
A1i7n,eyes_open,3,E109,Right,Temporal,TR,0.260890873,0.260890873,0
